County,Year,Class,Dollar Damage,Approximate Size (Acres),Approximate Latitude,Approximate Longitude,Average Temperature In Year In County,Average Precipitation In Year In County,Cost Class
San Luis Obispo,2017,E,800000,649.5,35.385224,-120.447544,61,20.84,E
Santa Cruz,2017,E,1140000,649.5,37.012488,-122.007205,58.6,48.23,E
Calaveras,2016,E,113333.3333,649.5,38.1839,-120.561441,60.2,34.69,E
Humboldt,2016,E,347901,649.5,40.706673,-123.925818,56.3,68.13,E
Modoc,2016,E,2,649.5,41.592918,-120.71837,49.2,20.41,A
Sacramento,2016,E,20000,649.5,38.450011,-121.340441,64.1,15.4,E
Shasta,2016,E,52000,649.5,40.760514,-122.043556,57.4,40.6,E
Siskiyou,2016,E,286211,649.5,41.587986,-122.533287,51.4,41.63,E
Humboldt,2015,E,10950,649.5,40.706673,-123.925818,56.9,54.93,E
Siskiyou,2015,E,1185,649.5,41.587986,-122.533287,52,36.98,C
Madera,2015,E,50000,649.5,37.209821,-119.749802,59.1,13.2,E
Butte,2014,E,378,649.5,39.665959,-121.601919,61.2,11.84,B
Humboldt,2014,E,200000,649.5,40.706673,-123.925818,54.5,19.88,E
Mendocino,2014,E,1425618,649.5,39.432388,-123.442881,56.5,14.32,E
Trinity,2014,E,150000,649.5,40.647724,-123.114404,53.8,18.49,E
Yolo,2014,E,10000,649.5,38.679595,-121.902441,63.1,5.16,
Madera,2014,E,2900666,649.5,37.209821,-119.749802,57.8,6.43,E
San Diego,2014,E,600000,649.5,33.023604,-116.776117,64.1,6.44,E
Butte,2013,E,625000,649.5,39.665959,-121.601919,59.6,47.17,E
Contra Costa,2013,E,4000,649.5,37.919479,-121.951543,59.9,21.29,D
Lake,2013,E,500,649.5,39.094802,-122.746757,56.9,47.76,
Napa,2013,E,2000,649.5,38.5071,-122.325904,59.2,34.99,C
San Benito,2013,E,8000,649.5,36.610702,-121.085296,59.1,16,D
Inyo,2013,E,50000,649.5,36.561977,-117.403927,62.2,3.49,E
San Joaquin,2013,E,60000,649.5,37.934982,-121.272244,61.9,15.19,E
Lake,2012,E,2000000,649.5,39.094802,-122.746757,55.9,42.31,E
Riverside,2012,E,165000,649.5,33.729828,-116.002239,67.6,6.27,E
San Diego,2012,E,100000,649.5,33.023604,-116.776117,62.2,12.54,E
Tuolumne,2012,E,5000,649.5,38.021434,-119.964733,48.7,42.1,D
Mendocino,2011,E,3001,649.5,39.432388,-123.442881,54.5,57.35,D
Yuba,2011,E,40000,649.5,39.266247,-121.340781,59.5,42.5,E
Alameda,2011,E,193500,649.5,37.647139,-121.912488,58.3,18.83,E
Merced,2011,E,10540,649.5,37.194806,-120.722802,61.3,14.65,E
Monterey,2011,E,80000,649.5,36.240107,-121.315572,57.9,23.99,E
Inyo,2011,E,3.5,649.5,36.561977,-117.403927,60.3,7.51,A
Tulare,2011,E,5062.5,649.5,36.228824,-118.781061,53.5,31.14,D
Alameda,2010,E,50600,649.5,37.647139,-121.912488,58.9,21.39,E
Stanislaus,2010,E,130000,649.5,37.562316,-121.002831,61.6,14.15,E
Inyo,2022,F,100000,2999.5,36.561977,-117.403927,63,3.96,E
San Diego,2022,F,400000,2999.5,33.023604,-116.776117,64.3,9.24,E
Siskiyou,2022,F,75000000,2999.5,41.587986,-122.533287,51.2,25.42,E
Monterey,2021,F,2000,2999.5,36.240107,-121.315572,60.5,16.64,C
Alameda,2020,F,19200,2999.5,37.647139,-121.912488,59.5,20.11,E
Calaveras,2020,F,196000,2999.5,38.1839,-120.561441,58.1,42.66,E
Contra Costa,2020,F,40000,2999.5,37.919479,-121.951543,60.5,20.17,E
Fresno,2020,F,263630,2999.5,36.761006,-119.655019,55.6,21.81,E
Merced,2020,F,5000,2999.5,37.194806,-120.722802,62.7,12.22,D
San Benito,2020,F,250000,2999.5,36.610702,-121.085296,59,20.62,E
San Luis Obispo,2020,F,144000,2999.5,35.385224,-120.447544,59.6,18.68,E
Solano,2020,F,2250000,2999.5,38.267226,-121.939594,61.5,24.26,E
Sonoma,2020,F,300000,2999.5,38.525182,-122.92611,57.8,52.1,E
Tulare,2020,F,80000,2999.5,36.228824,-118.781061,53.9,25.78,E
Yuba,2020,F,2500000,2999.5,39.266247,-121.340781,60.8,46.14,E
Colusa,2019,F,80000,2999.5,39.177739,-122.237563,62.4,20.23,E
Riverside,2019,F,50000,2999.5,33.729828,-116.002239,69.8,6.56,E
San Luis Obispo,2019,F,2005000,2999.5,35.385224,-120.447544,60.9,17.51,E
Glenn,2018,F,800000,2999.5,39.602546,-122.4017,61.8,21.7,E
Merced,2018,F,682000,2999.5,37.194806,-120.722802,64.4,9.41,E
Napa,2018,F,10000,2999.5,38.5071,-122.325904,61.2,30.99,
San Benito,2018,F,2900,2999.5,36.610702,-121.085296,61.2,12.28,D
Shasta,2018,F,150000,2999.5,40.760514,-122.043556,57.2,43.86,E
Solano,2018,F,800000,2999.5,38.267226,-121.939594,62.5,22.07,E
Butte,2017,F,7400000,2999.5,39.665959,-121.601919,60.6,57.75,E
Fresno,2017,F,12500,2999.5,36.761006,-119.655019,57.1,26.3,E
Lake,2017,F,35110000,2999.5,39.094802,-122.746757,57.9,62.74,E
Madera,2017,F,1394300,2999.5,37.209821,-119.749802,57.7,29.9,E
San Luis Obispo,2017,F,2627373,2999.5,35.385224,-120.447544,61,20.84,E
Fresno,2016,F,92637.5,2999.5,36.761006,-119.655019,57.4,17.51,E
Lake,2016,F,105000000,2999.5,39.094802,-122.746757,59.3,39.63,E
Lassen,2016,F,400000,2999.5,40.721086,-120.629952,49.2,22.19,E
Merced,2016,F,5000,2999.5,37.194806,-120.722802,64.1,11.62,D
Monterey,2016,F,775200,2999.5,36.240107,-121.315572,60.6,18.06,E
Santa Clara,2016,F,220000,2999.5,37.220777,-121.690622,60.2,21.45,E
Humboldt,2015,F,35500,2999.5,40.706673,-123.925818,56.9,54.93,E
Alameda,2015,F,1520000,2999.5,37.647139,-121.912488,61.8,19.78,E
Merced,2015,F,50000,2999.5,37.194806,-120.722802,64.8,9.75,E
Monterey,2015,F,10000000,2999.5,36.240107,-121.315572,61.5,19.92,E
San Luis Obispo,2015,F,460000,2999.5,35.385224,-120.447544,62.6,12.52,E
Napa,2014,F,7,2999.5,38.5071,-122.325904,60.7,5.87,A
Butte,2013,F,53524,2999.5,39.665959,-121.601919,59.6,47.17,E
Contra Costa,2013,F,100000,2999.5,37.919479,-121.951543,59.9,21.29,E
Sonoma,2013,F,9000000,2999.5,38.525182,-122.92611,56.7,44.17,E
Mendocino,2012,F,4618,2999.5,39.432388,-123.442881,54.2,48.41,D
Shasta,2012,F,30000,2999.5,40.760514,-122.043556,53.8,39.98,E
Lake,2012,F,1200000,2999.5,39.094802,-122.746757,55.9,42.31,E
Mariposa,2012,F,75000,2999.5,37.570033,-119.91286,54,29.3,E
Riverside,2012,F,125000,2999.5,33.729828,-116.002239,67.6,6.27,E
Monterey,2012,F,37935,2999.5,36.240107,-121.315572,57.5,20.35,E
San Diego,2012,F,400000,2999.5,33.023604,-116.776117,62.2,12.54,E
San Bernardino,2011,F,280000,2999.5,34.85722,-116.181197,65.8,8.49,E
San Diego,2011,F,1000,2999.5,33.023604,-116.776117,61.9,19.04,C
San Luis Obispo,2011,F,11500,2999.5,35.385224,-120.447544,58.6,22.65,E
Tulare,2011,F,24260,2999.5,36.228824,-118.781061,53.5,31.14,E
Stanislaus,2011,F,224400,2999.5,37.562316,-121.002831,60.3,16.65,E
